Code,Quantity,Rate,Diff,Name,Date,ValidFromDate
AED,10,7.3694,0.0008,არაბეთის გაერთიანებული საამიროების დირჰამი,11/11/2025,11/12/2025
AED,10,7.3686,0.0028,არაბეთის გაერთიანებული საამიროების დირჰამი,11/10/2025,11/11/2025
AED,10,7.3714,0.0042,არაბეთის გაერთიანებული საამიროების დირჰამი,11/7/2025,11/8/2025
AED,10,7.3756,0.0035,არაბეთის გაერთიანებული საამიროების დირჰამი,11/6/2025,11/7/2025
AED,10,7.3791,0.0017,არაბეთის გაერთიანებული საამიროების დირჰამი,11/5/2025,11/6/2025
AED,10,7.3808,0.0022,არაბეთის გაერთიანებული საამიროების დირჰამი,11/4/2025,11/5/2025
AED,10,7.3830,0.0025,არაბეთის გაერთიანებული საამიროების დირჰამი,11/3/2025,11/4/2025
AED,10,7.3855,0.0035,არაბეთის გაერთიანებული საამიროების დირჰამი,10/31/2025,11/1/2025
AED,10,7.3890,0.0039,არაბეთის გაერთიანებული საამიროების დირჰამი,10/31/2025,10/31/2025
AED,10,7.3929,0.0158,არაბეთის გაერთიანებული საამიროების დირჰამი,10/29/2025,10/30/2025
AED,10,7.4087,0.0162,არაბეთის გაერთიანებული საამიროების დირჰამი,10/28/2025,10/29/2025
AED,10,7.3925,0.0241,არაბეთის გაერთიანებული საამიროების დირჰამი,10/27/2025,10/28/2025
AED,10,7.4166,0.0112,არაბეთის გაერთიანებული საამიროების დირჰამი,10/24/2025,10/25/2025
AED,10,7.4054,0.0259,არაბეთის გაერთიანებული საამიროების დირჰამი,10/23/2025,10/24/2025
AED,10,7.3795,0.0014,არაბეთის გაერთიანებული საამიროების დირჰამი,10/22/2025,10/23/2025
AED,10,7.3809,0.0091,არაბეთის გაერთიანებული საამიროების დირჰამი,10/21/2025,10/22/2025
AED,10,7.3718,0.0008,არაბეთის გაერთიანებული საამიროების დირჰამი,10/20/2025,10/21/2025
AED,10,7.3726,0.0044,არაბეთის გაერთიანებული საამიროების დირჰამი,10/17/2025,10/18/2025
AED,10,7.3770,0.0033,არაბეთის გაერთიანებული საამიროების დირჰამი,10/16/2025,10/17/2025
AED,10,7.3803,0.0009,არაბეთის გაერთიანებული საამიროების დირჰამი,10/15/2025,10/16/2025
AED,10,7.3812,0.0016,არაბეთის გაერთიანებული საამიროების დირჰამი,10/13/2025,10/14/2025
AED,10,7.3828,0.0022,არაბეთის გაერთიანებული საამიროების დირჰამი,10/10/2025,10/11/2025
AED,10,7.3850,0.0008,არაბეთის გაერთიანებული საამიროების დირჰამი,10/9/2025,10/10/2025
AED,10,7.3858,0.0005,არაბეთის გაერთიანებული საამიროების დირჰამი,10/8/2025,10/9/2025
AED,10,7.3863,0.0194,არაბეთის გაერთიანებული საამიროების დირჰამი,10/7/2025,10/8/2025
AED,10,7.4057,0.0102,არაბეთის გაერთიანებული საამიროების დირჰამი,10/6/2025,10/7/2025
AED,10,7.4159,0.0066,არაბეთის გაერთიანებული საამიროების დირჰამი,10/6/2025,10/4/2025
AED,10,7.4225,0.0013,არაბეთის გაერთიანებული საამიროების დირჰამი,10/2/2025,10/3/2025
AED,10,7.4212,0.0017,არაბეთის გაერთიანებული საამიროების დირჰამი,10/1/2025,10/2/2025
AED,10,7.4195,0.0446,არაბეთის გაერთიანებული საამიროების დირჰამი,9/30/2025,10/1/2025
AED,10,7.3749,0.0030,არაბეთის გაერთიანებული საამიროების დირჰამი,9/29/2025,9/30/2025
AED,10,7.3719,0.0098,არაბეთის გაერთიანებული საამიროების დირჰამი,9/26/2025,9/27/2025
AED,10,7.3817,0.0008,არაბეთის გაერთიანებული საამიროების დირჰამი,9/25/2025,9/26/2025
AED,10,7.3809,0.0084,არაბეთის გაერთიანებული საამიროების დირჰამი,9/24/2025,9/25/2025
AED,10,7.3893,0.0319,არაბეთის გაერთიანებული საამიროების დირჰამი,9/23/2025,9/24/2025
AED,10,7.4212,0.0400,არაბეთის გაერთიანებული საამიროების დირჰამი,9/22/2025,9/23/2025
AED,10,7.4612,0.0133,არაბეთის გაერთიანებული საამიროების დირჰამი,9/19/2025,9/20/2025
AED,10,7.4479,0.0580,არაბეთის გაერთიანებული საამიროების დირჰამი,9/18/2025,9/19/2025
AED,10,7.3899,0.0172,არაბეთის გაერთიანებული საამიროების დირჰამი,9/17/2025,9/18/2025
AED,10,7.3727,0.0079,არაბეთის გაერთიანებული საამიროების დირჰამი,9/16/2025,9/17/2025
AED,10,7.3648,0.0133,არაბეთის გაერთიანებული საამიროების დირჰამი,9/15/2025,9/16/2025
AED,10,7.3515,0.0172,არაბეთის გაერთიანებული საამიროების დირჰამი,9/12/2025,9/13/2025
AED,10,7.3343,0.0051,არაბეთის გაერთიანებული საამიროების დირჰამი,9/11/2025,9/12/2025
AED,10,7.3292,0.0002,არაბეთის გაერთიანებული საამიროების დირჰამი,9/10/2025,9/11/2025
AED,10,7.3294,0.0011,არაბეთის გაერთიანებული საამიროების დირჰამი,9/9/2025,9/10/2025
AED,10,7.3305,0.0014,არაბეთის გაერთიანებული საამიროების დირჰამი,9/8/2025,9/9/2025
AED,10,7.3319,0.0016,არაბეთის გაერთიანებული საამიროების დირჰამი,9/5/2025,9/6/2025
AED,10,7.3335,0.0095,არაბეთის გაერთიანებული საამიროების დირჰამი,9/4/2025,9/5/2025
AED,10,7.3430,0.0098,არაბეთის გაერთიანებული საამიროების დირჰამი,9/3/2025,9/4/2025
AED,10,7.3332,0.0014,არაბეთის გაერთიანებული საამიროების დირჰამი,9/2/2025,9/3/2025
AED,10,7.3346,0.0018,არაბეთის გაერთიანებული საამიროების დირჰამი,9/1/2025,9/2/2025
AED,10,7.3364,0.0058,არაბეთის გაერთიანებული საამიროების დირჰამი,8/29/2025,8/30/2025
AED,10,7.3422,0.0019,არაბეთის გაერთიანებული საამიროების დირჰამი,8/27/2025,8/28/2025
AED,10,7.3441,0.0027,არაბეთის გაერთიანებული საამიროების დირჰამი,8/26/2025,8/27/2025
AED,10,7.3468,0.0180,არაბეთის გაერთიანებული საამიროების დირჰამი,8/25/2025,8/26/2025
AED,10,7.3648,0.0049,არაბეთის გაერთიანებული საამიროების დირჰამი,8/22/2025,8/23/2025
AED,10,7.3697,0.0186,არაბეთის გაერთიანებული საამიროების დირჰამი,8/21/2025,8/22/2025
AED,10,7.3511,0.0053,არაბეთის გაერთიანებული საამიროების დირჰამი,8/20/2025,8/21/2025
AED,10,7.3458,0.0036,არაბეთის გაერთიანებული საამიროების დირჰამი,8/19/2025,8/20/2025
AED,10,7.3422,0.0117,არაბეთის გაერთიანებული საამიროების დირჰამი,8/18/2025,8/19/2025
AED,10,7.3539,0.0688,არაბეთის გაერთიანებული საამიროების დირჰამი,8/15/2025,8/16/2025
AED,10,7.4227,0.0102,არაბეთის გაერთიანებული საამიროების დირჰამი,8/14/2025,8/15/2025
AED,10,7.4125,0.0774,არაბეთის გაერთიანებული საამიროების დირჰამი,8/13/2025,8/14/2025
AED,10,7.3351,0.0017,არაბეთის გაერთიანებული საამიროების დირჰამი,8/12/2025,8/13/2025
AED,10,7.3368,0.0043,არაბეთის გაერთიანებული საამიროების დირჰამი,8/11/2025,8/12/2025
AED,10,7.3411,0.0017,არაბეთის გაერთიანებული საამიროების დირჰამი,8/8/2025,8/9/2025
