Code,Quantity,Rate,Diff,Name,Date,ValidFromDate
CNY,10,3.8013,0.0000,ჩინური იუანი,11/11/2025,11/12/2025
CNY,10,3.8013,0.0006,ჩინური იუანი,11/10/2025,11/11/2025
CNY,10,3.8019,0.0015,ჩინური იუანი,11/7/2025,11/8/2025
CNY,10,3.8034,0.0008,ჩინური იუანი,11/6/2025,11/7/2025
CNY,10,3.8026,0.0022,ჩინური იუანი,11/5/2025,11/6/2025
CNY,10,3.8048,0.0030,ჩინური იუანი,11/4/2025,11/5/2025
CNY,10,3.8078,0.0056,ჩინური იუანი,11/3/2025,11/4/2025
CNY,10,3.8134,0.0027,ჩინური იუანი,10/31/2025,11/1/2025
CNY,10,3.8161,0.0085,ჩინური იუანი,10/31/2025,10/31/2025
CNY,10,3.8246,0.0083,ჩინური იუანი,10/29/2025,10/30/2025
CNY,10,3.8329,0.0113,ჩინური იუანი,10/28/2025,10/29/2025
CNY,10,3.8216,0.0032,ჩინური იუანი,10/27/2025,10/28/2025
CNY,10,3.8248,0.0065,ჩინური იუანი,10/24/2025,10/25/2025
CNY,10,3.8183,0.0142,ჩინური იუანი,10/23/2025,10/24/2025
CNY,10,3.8041,0.0036,ჩინური იუანი,10/22/2025,10/23/2025
CNY,10,3.8077,0.0065,ჩინური იუანი,10/21/2025,10/22/2025
CNY,10,3.8012,0.0013,ჩინური იუანი,10/20/2025,10/21/2025
CNY,10,3.7999,0.0024,ჩინური იუანი,10/17/2025,10/18/2025
CNY,10,3.8023,0.0014,ჩინური იუანი,10/16/2025,10/17/2025
CNY,10,3.8037,0.0025,ჩინური იუანი,10/15/2025,10/16/2025
CNY,10,3.8012,0.0059,ჩინური იუანი,10/13/2025,10/14/2025
CNY,10,3.8071,0.0007,ჩინური იუანი,10/10/2025,10/11/2025
CNY,10,3.8078,0.0016,ჩინური იუანი,10/9/2025,10/10/2025
CNY,10,3.8094,0.0002,ჩინური იუანი,10/8/2025,10/9/2025
CNY,10,3.8096,0.0100,ჩინური იუანი,10/7/2025,10/8/2025
CNY,10,3.8196,0.0052,ჩინური იუანი,10/6/2025,10/7/2025
CNY,10,3.8248,0.0035,ჩინური იუანი,10/6/2025,10/4/2025
CNY,10,3.8283,0.0007,ჩინური იუანი,10/2/2025,10/3/2025
CNY,10,3.8276,0.0003,ჩინური იუანი,10/1/2025,10/2/2025
CNY,10,3.8279,0.0240,ჩინური იუანი,9/30/2025,10/1/2025
CNY,10,3.8039,0.0095,ჩინური იუანი,9/29/2025,9/30/2025
CNY,10,3.7944,0.0121,ჩინური იუანი,9/26/2025,9/27/2025
CNY,10,3.8065,0.0016,ჩინური იუანი,9/25/2025,9/26/2025
CNY,10,3.8049,0.0123,ჩინური იუანი,9/24/2025,9/25/2025
CNY,10,3.8172,0.0151,ჩინური იუანი,9/23/2025,9/24/2025
CNY,10,3.8323,0.0202,ჩინური იუანი,9/22/2025,9/23/2025
CNY,10,3.8525,0.0027,ჩინური იუანი,9/19/2025,9/20/2025
CNY,10,3.8498,0.0290,ჩინური იუანი,9/18/2025,9/19/2025
CNY,10,3.8208,0.0149,ჩინური იუანი,9/17/2025,9/18/2025
CNY,10,3.8059,0.0075,ჩინური იუანი,9/16/2025,9/17/2025
CNY,10,3.7984,0.0068,ჩინური იუანი,9/15/2025,9/16/2025
CNY,10,3.7916,0.0099,ჩინური იუანი,9/12/2025,9/13/2025
CNY,10,3.7817,0.0018,ჩინური იუანი,9/11/2025,9/12/2025
CNY,10,3.7799,0.0005,ჩინური იუანი,9/10/2025,9/11/2025
CNY,10,3.7804,0.0043,ჩინური იუანი,9/9/2025,9/10/2025
CNY,10,3.7761,0.0032,ჩინური იუანი,9/8/2025,9/9/2025
CNY,10,3.7729,0.0003,ჩინური იუანი,9/5/2025,9/6/2025
CNY,10,3.7726,0.0015,ჩინური იუანი,9/4/2025,9/5/2025
CNY,10,3.7741,0.0048,ჩინური იუანი,9/3/2025,9/4/2025
CNY,10,3.7693,0.0067,ჩინური იუანი,9/2/2025,9/3/2025
CNY,10,3.7760,0.0016,ჩინური იუანი,9/1/2025,9/2/2025
CNY,10,3.7776,0.0124,ჩინური იუანი,8/29/2025,8/30/2025
CNY,10,3.7652,0.0020,ჩინური იუანი,8/27/2025,8/28/2025
CNY,10,3.7672,0.0034,ჩინური იუანი,8/26/2025,8/27/2025
CNY,10,3.7706,0.0028,ჩინური იუანი,8/25/2025,8/26/2025
CNY,10,3.7678,0.0029,ჩინური იუანი,8/22/2025,8/23/2025
CNY,10,3.7707,0.0084,ჩინური იუანი,8/21/2025,8/22/2025
CNY,10,3.7623,0.0043,ჩინური იუანი,8/20/2025,8/21/2025
CNY,10,3.7580,0.0012,ჩინური იუანი,8/19/2025,8/20/2025
CNY,10,3.7568,0.0058,ჩინური იუანი,8/18/2025,8/19/2025
CNY,10,3.7626,0.0391,ჩინური იუანი,8/15/2025,8/16/2025
CNY,10,3.8017,0.0071,ჩინური იუანი,8/14/2025,8/15/2025
CNY,10,3.7946,0.0471,ჩინური იუანი,8/13/2025,8/14/2025
CNY,10,3.7475,0.0040,ჩინური იუანი,8/12/2025,8/13/2025
CNY,10,3.7515,0.0019,ჩინური იუანი,8/11/2025,8/12/2025
CNY,10,3.7534,0.0035,ჩინური იუანი,8/8/2025,8/9/2025
CNY,10,3.7569,0.0005,ჩინური იუანი,8/7/2025,8/8/2025
CNY,10,3.7564,0.0023,ჩინური იუანი,8/6/2025,8/7/2025
CNY,10,3.7587,0.0077,ჩინური იუანი,8/5/2025,8/6/2025
CNY,10,3.7664,0.0158,ჩინური იუანი,8/4/2025,8/5/2025
CNY,10,3.7506,0.0099,ჩინური იუანი,8/1/2025,8/2/2025
CNY,10,3.7605,0.0088,ჩინური იუანი,7/31/2025,8/1/2025
CNY,10,3.7693,0.0032,ჩინური იუანი,7/30/2025,7/31/2025
CNY,10,3.7725,0.0014,ჩინური იუანი,7/29/2025,7/30/2025
CNY,10,3.7739,0.0049,ჩინური იუანი,7/28/2025,7/29/2025
