Code,Quantity,Rate,Diff,Name,Date,ValidFromDate
EUR,1,3.1321,0.0028,ევრო,11/11/2025,11/12/2025
EUR,1,3.1293,0.0021,ევრო,11/10/2025,11/11/2025
EUR,1,3.1272,0.0079,ევრო,11/7/2025,11/8/2025
EUR,1,3.1193,0.0066,ევრო,11/6/2025,11/7/2025
EUR,1,3.1127,0.007,ევრო,11/5/2025,11/6/2025
EUR,1,3.1197,0.0034,ევრო,11/4/2025,11/5/2025
EUR,1,3.1231,0.0155,ევრო,11/3/2025,11/4/2025
EUR,1,3.1386,0.0128,ევრო,10/31/2025,11/1/2025
EUR,1,3.1514,0.0107,ევრო,10/31/2025,10/31/2025
EUR,1,3.1621,0.0119,ევრო,10/29/2025,10/30/2025
EUR,1,3.174,0.013,ევრო,10/28/2025,10/29/2025
EUR,1,3.161,0.0028,ევრო,10/27/2025,10/28/2025
EUR,1,3.1638,0.0116,ევრო,10/24/2025,10/25/2025
EUR,1,3.1522,0.0115,ევრო,10/23/2025,10/24/2025
EUR,1,3.1407,0.0068,ევრო,10/22/2025,10/23/2025
EUR,1,3.1475,0.0085,ევრო,10/21/2025,10/22/2025
EUR,1,3.156,0.012,ევრო,10/20/2025,10/21/2025
EUR,1,3.168,0.0098,ევრო,10/17/2025,10/18/2025
EUR,1,3.1582,0.0074,ევრო,10/16/2025,10/17/2025
EUR,1,3.1508,0.0097,ევრო,10/15/2025,10/16/2025
EUR,1,3.1411,0.0026,ევრო,10/13/2025,10/14/2025
EUR,1,3.1385,0.0132,ევრო,10/10/2025,10/11/2025
EUR,1,3.1517,0.0033,ევრო,10/9/2025,10/10/2025
EUR,1,3.155,0.0122,ევრო,10/8/2025,10/9/2025
EUR,1,3.1672,0.0042,ევრო,10/7/2025,10/8/2025
EUR,1,3.1714,0.0253,ევრო,10/6/2025,10/7/2025
EUR,1,3.1967,0.0067,ევრო,10/6/2025,10/4/2025
EUR,1,3.2034,0.0066,ევრო,10/2/2025,10/3/2025
EUR,1,3.1968,0.0031,ევრო,10/1/2025,10/2/2025
EUR,1,3.1999,0.026,ევრო,9/30/2025,10/1/2025
EUR,1,3.1739,0.0146,ევრო,9/29/2025,9/30/2025
EUR,1,3.1593,0.027,ევრო,9/26/2025,9/27/2025
EUR,1,3.1863,0.0003,ევრო,9/25/2025,9/26/2025
EUR,1,3.186,0.0147,ევრო,9/24/2025,9/25/2025
EUR,1,3.2007,0.0092,ევრო,9/23/2025,9/24/2025
EUR,1,3.2099,0.0135,ევრო,9/22/2025,9/23/2025
EUR,1,3.2234,0.0142,ევრო,9/19/2025,9/20/2025
EUR,1,3.2376,0.0233,ევრო,9/18/2025,9/19/2025
EUR,1,3.2143,0.0164,ევრო,9/17/2025,9/18/2025
EUR,1,3.1979,0.0181,ევრო,9/16/2025,9/17/2025
EUR,1,3.1798,0.0119,ევრო,9/15/2025,9/16/2025
EUR,1,3.1679,0.0206,ევრო,9/12/2025,9/13/2025
EUR,1,3.1473,0.0029,ევრო,9/11/2025,9/12/2025
EUR,1,3.1502,0.0149,ევრო,9/10/2025,9/11/2025
EUR,1,3.1651,0.0076,ევრო,9/9/2025,9/10/2025
EUR,1,3.1575,0.0083,ევრო,9/8/2025,9/9/2025
EUR,1,3.1492,0.0098,ევრო,9/5/2025,9/6/2025
EUR,1,3.1394,0.0003,ევრო,9/4/2025,9/5/2025
EUR,1,3.1397,0.0061,ევრო,9/3/2025,9/4/2025
EUR,1,3.1336,0.0243,ევრო,9/2/2025,9/3/2025
EUR,1,3.1579,0.0141,ევრო,9/1/2025,9/2/2025
EUR,1,3.1438,0.0201,ევრო,8/29/2025,8/30/2025
EUR,1,3.1237,0.0161,ევრო,8/27/2025,8/28/2025
EUR,1,3.1398,0.0138,ევრო,8/26/2025,8/27/2025
EUR,1,3.1536,0.017,ევრო,8/25/2025,8/26/2025
EUR,1,3.1366,0.0166,ევრო,8/22/2025,8/23/2025
EUR,1,3.1532,0.0082,ევრო,8/21/2025,8/22/2025
EUR,1,3.145,0.008,ევრო,8/20/2025,8/21/2025
EUR,1,3.153,0.0023,ევრო,8/19/2025,8/20/2025
EUR,1,3.1507,0.0046,ევრო,8/18/2025,8/19/2025
EUR,1,3.1553,0.0317,ევრო,8/15/2025,8/16/2025
EUR,1,3.187,0.0039,ევრო,8/14/2025,8/15/2025
EUR,1,3.1909,0.0627,ევრო,8/13/2025,8/14/2025
EUR,1,3.1282,0.0099,ევრო,8/12/2025,8/13/2025
EUR,1,3.1381,0.0014,ევრო,8/11/2025,8/12/2025
EUR,1,3.1367,0.0099,ევრო,8/8/2025,8/9/2025
EUR,1,3.1466,0.0149,ევრო,8/7/2025,8/8/2025
EUR,1,3.1317,0.0133,ევრო,8/6/2025,8/7/2025
EUR,1,3.1184,0.007,ევრო,8/5/2025,8/6/2025
EUR,1,3.1254,0.0382,ევრო,8/4/2025,8/5/2025
EUR,1,3.0872,0.0064,ევრო,8/1/2025,8/2/2025
EUR,1,3.0936,0.0294,ევრო,7/31/2025,8/1/2025
EUR,1,3.123,0.0114,ევრო,7/30/2025,7/31/2025
EUR,1,3.1344,0.0239,ევრო,7/29/2025,7/30/2025
EUR,1,3.1583,0.02,ევრო,7/28/2025,7/29/2025
EUR,1,3.1783,0.0042,ევრო,7/25/2025,7/26/2025
EUR,1,3.1825,0.0026,ევრო,7/24/2025,7/25/2025
EUR,1,3.1799,0.0074,ევრო,7/23/2025,7/24/2025
EUR,1,3.1725,0.016,ევრო,7/22/2025,7/23/2025
EUR,1,3.1565,0.0003,ევრო,7/21/2025,7/22/2025
EUR,1,3.1568,0.0143,ევრო,7/18/2025,7/19/2025
EUR,1,3.1425,0.0086,ევრო,7/17/2025,7/18/2025
EUR,1,3.1511,0.0192,ევრო,7/16/2025,7/17/2025
EUR,1,3.1703,0.0034,ევრო,7/15/2025,7/16/2025
EUR,1,3.1737,0.0016,ევრო,7/14/2025,7/15/2025
EUR,1,3.1753,0.0122,ევრო,7/11/2025,7/12/2025
EUR,1,3.1875,0.007,ევრო,7/10/2025,7/11/2025
EUR,1,3.1805,0.007,ევრო,7/9/2025,7/10/2025
EUR,1,3.1875,0.0004,ევრო,7/8/2025,7/9/2025
EUR,1,3.1871,0.0149,ევრო,7/7/2025,7/8/2025
EUR,1,3.202,0.007,ევრო,7/4/2025,7/5/2025
EUR,1,3.209,0.0061,ევრო,7/3/2025,7/4/2025
EUR,1,3.2029,0.0126,ევრო,7/2/2025,7/3/2025
EUR,1,3.2155,0.0245,ევრო,7/1/2025,7/2/2025
EUR,1,3.191,0.0028,ევრო,6/30/2025,7/1/2025
EUR,1,3.1882,0.0043,ევრო,6/27/2025,6/28/2025
EUR,1,3.1925,0.0306,ევრო,6/26/2025,6/27/2025
EUR,1,3.1619,0.002,ევრო,6/25/2025,6/26/2025
EUR,1,3.1599,0.0345,ევრო,6/24/2025,6/25/2025
EUR,1,3.1254,0.0181,ევრო,6/23/2025,6/24/2025
EUR,1,3.1435,0.0148,ევრო,6/20/2025,6/21/2025
EUR,1,3.1287,0.0086,ევრო,6/19/2025,6/20/2025
EUR,1,3.1373,0.018,ევრო,6/18/2025,6/19/2025
EUR,1,3.1553,0.0049,ევრო,6/17/2025,6/18/2025
EUR,1,3.1602,0.0201,ევრო,6/16/2025,6/17/2025
EUR,1,3.1401,0.0224,ევრო,6/13/2025,6/14/2025
EUR,1,3.1625,0.0387,ევრო,6/12/2025,6/13/2025
EUR,1,3.1238,0.0049,ევრო,6/11/2025,6/12/2025
EUR,1,3.1189,0.0003,ევრო,6/10/2025,6/11/2025
EUR,1,3.1186,0.0016,ევრო,6/9/2025,6/10/2025
EUR,1,3.1202,0.0001,ევრო,6/6/2025,6/7/2025
EUR,1,3.1203,0.0116,ევრო,6/5/2025,6/6/2025
EUR,1,3.1087,0.0075,ევრო,6/4/2025,6/5/2025
EUR,1,3.1162,0.0038,ევრო,6/3/2025,6/4/2025
EUR,1,3.12,0.0231,ევრო,6/2/2025,6/3/2025
EUR,1,3.0969,0.0108,ევრო,5/30/2025,5/31/2025
EUR,1,3.0861,0.0123,ევრო,5/29/2025,5/30/2025
EUR,1,3.0984,0.0058,ევრო,5/28/2025,5/29/2025
EUR,1,3.1042,0.0019,ევრო,5/27/2025,5/28/2025
EUR,1,3.1061,0.0137,ევრო,5/23/2025,5/24/2025
EUR,1,3.0924,0.0166,ევრო,5/22/2025,5/23/2025
EUR,1,3.109,0.0275,ევრო,5/21/2025,5/22/2025
EUR,1,3.0815,0.0083,ევრო,5/20/2025,5/21/2025
EUR,1,3.0898,0.0212,ევრო,5/19/2025,5/20/2025
EUR,1,3.0686,0.0046,ევრო,5/16/2025,5/17/2025
EUR,1,3.0732,0.009,ევრო,5/15/2025,5/16/2025
EUR,1,3.0822,0.0358,ევრო,5/14/2025,5/15/2025
EUR,1,3.0464,0.0548,ევრო,5/13/2025,5/14/2025
EUR,1,3.1012,0.0207,ევრო,5/8/2025,5/9/2025
EUR,1,3.1219,0.0114,ევრო,5/7/2025,5/8/2025
EUR,1,3.1105,0.0062,ევრო,5/6/2025,5/7/2025
EUR,1,3.1167,0.0029,ევრო,5/5/2025,5/6/2025
EUR,1,3.1138,0.0005,ევრო,5/2/2025,5/3/2025
EUR,1,3.1143,0.0096,ევრო,5/1/2025,5/2/2025
EUR,1,3.1239,0.0066,ევრო,4/30/2025,5/1/2025
EUR,1,3.1305,0.0078,ევრო,4/29/2025,4/30/2025
EUR,1,3.1227,0.0003,ევრო,4/28/2025,4/29/2025
EUR,1,3.1224,0.0076,ევრო,4/25/2025,4/26/2025
EUR,1,3.13,0.0054,ევრო,4/24/2025,4/25/2025
EUR,1,3.1354,0.026,ევრო,4/23/2025,4/24/2025
EUR,1,3.1614,0.0365,ევრო,4/22/2025,4/23/2025
EUR,1,3.1249,0.0025,ევრო,4/17/2025,4/18/2025
EUR,1,3.1274,0.0045,ევრო,4/16/2025,4/17/2025
EUR,1,3.1229,0.0134,ევრო,4/15/2025,4/16/2025
EUR,1,3.1363,0.0104,ევრო,4/14/2025,4/15/2025
EUR,1,3.1259,0.0741,ევრო,4/11/2025,4/12/2025
EUR,1,3.0518,0.0375,ევრო,4/10/2025,4/11/2025
EUR,1,3.0143,0.0089,ევრო,4/8/2025,4/9/2025
EUR,1,3.0232,0.0206,ევრო,4/7/2025,4/8/2025
EUR,1,3.0438,0.0131,ევრო,4/4/2025,4/5/2025
EUR,1,3.0569,0.0753,ევრო,4/3/2025,4/4/2025
EUR,1,2.9816,0.0032,ევრო,4/2/2025,4/3/2025
EUR,1,2.9848,0.0042,ევრო,4/1/2025,4/2/2025
EUR,1,2.989,0.0072,ევრო,3/31/2025,4/1/2025
EUR,1,2.9818,0.0047,ევრო,3/28/2025,3/29/2025
EUR,1,2.9865,0.0063,ევრო,3/27/2025,3/28/2025
EUR,1,2.9928,0.0134,ევრო,3/26/2025,3/27/2025
EUR,1,3.0062,0.012,ევრო,3/25/2025,3/26/2025
