Code,Quantity,Rate,Diff,Name,Date,ValidFromDate
GBP,1,3.5557,0.0055,დიდი ბრიტანეთის გირვანქა სტერლინგი,11/11/2025,11/12/2025
GBP,1,3.5612,0.0119,დიდი ბრიტანეთის გირვანქა სტერლინგი,11/10/2025,11/11/2025
GBP,1,3.5493,0.0047,დიდი ბრიტანეთის გირვანქა სტერლინგი,11/7/2025,11/8/2025
GBP,1,3.5446,0.0132,დიდი ბრიტანეთის გირვანქა სტერლინგი,11/6/2025,11/7/2025
GBP,1,3.5314,0.0134,დიდი ბრიტანეთის გირვანქა სტერლინგი,11/5/2025,11/6/2025
GBP,1,3.5448,0.0159,დიდი ბრიტანეთის გირვანქა სტერლინგი,11/4/2025,11/5/2025
GBP,1,3.5607,0.0016,დიდი ბრიტანეთის გირვანქა სტერლინგი,11/3/2025,11/4/2025
GBP,1,3.5623,0.0143,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/31/2025,11/1/2025
GBP,1,3.5766,0.0132,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/31/2025,10/31/2025
GBP,1,3.5898,0.0367,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/29/2025,10/30/2025
GBP,1,3.6265,0.0033,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/28/2025,10/29/2025
GBP,1,3.6232,0.0048,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/27/2025,10/28/2025
GBP,1,3.6280,0.0010,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/24/2025,10/25/2025
GBP,1,3.6290,0.0205,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/23/2025,10/24/2025
GBP,1,3.6085,0.0175,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/22/2025,10/23/2025
GBP,1,3.6260,0.0068,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/21/2025,10/22/2025
GBP,1,3.6328,0.0061,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/20/2025,10/21/2025
GBP,1,3.6389,0.0019,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/17/2025,10/18/2025
GBP,1,3.6408,0.0203,დიდი ბრიტანეთის გირვანქა სტერლინგი,10/16/2025,10/17/2025
