Code,Quantity,Rate,Diff,Name,Date,ValidFromDate
TRY,1,0.0641,0.0000,თურქული ლირა,11/11/2025,11/12/2025
TRY,1,0.0641,0.0000,თურქული ლირა,11/10/2025,11/11/2025
TRY,1,0.0641,0.0002,თურქული ლირა,11/7/2025,11/8/2025
TRY,1,0.0643,0.0001,თურქული ლირა,11/6/2025,11/7/2025
TRY,1,0.0644,0.0000,თურქული ლირა,11/5/2025,11/6/2025
TRY,1,0.0644,0.0001,თურქული ლირა,11/4/2025,11/5/2025
TRY,1,0.0645,0.0000,თურქული ლირა,11/3/2025,11/4/2025
TRY,1,0.0645,0.0001,თურქული ლირა,10/31/2025,11/1/2025
TRY,1,0.0646,0.0001,თურქული ლირა,10/31/2025,10/31/2025
TRY,1,0.0647,0.0001,თურქული ლირა,10/29/2025,10/30/2025
TRY,1,0.0648,0.0001,თურქული ლირა,10/28/2025,10/29/2025
TRY,1,0.0647,0.0002,თურქული ლირა,10/27/2025,10/28/2025
TRY,1,0.0649,0.0001,თურქული ლირა,10/24/2025,10/25/2025
TRY,1,0.0648,0.0002,თურქული ლირა,10/23/2025,10/24/2025
TRY,1,0.0646,0.0000,თურქული ლირა,10/22/2025,10/23/2025
TRY,1,0.0646,0.0001,თურქული ლირა,10/21/2025,10/22/2025
TRY,1,0.0645,0.0000,თურქული ლირა,10/20/2025,10/21/2025
TRY,1,0.0645,0.0002,თურქული ლირა,10/17/2025,10/18/2025
TRY,1,0.0647,0.0001,თურქული ლირა,10/16/2025,10/17/2025
TRY,1,0.0648,0.0001,თურქული ლირა,10/15/2025,10/16/2025
TRY,1,0.0649,0.0001,თურქული ლირა,10/13/2025,10/14/2025
TRY,1,0.0648,0.0002,თურქული ლირა,10/10/2025,10/11/2025
TRY,1,0.0650,0.0000,თურქული ლირა,10/9/2025,10/10/2025
TRY,1,0.0650,0.0001,თურქული ლირა,10/8/2025,10/9/2025
TRY,1,0.0651,0.0001,თურქული ლირა,10/7/2025,10/8/2025
TRY,1,0.0652,0.0001,თურქული ლირა,10/6/2025,10/7/2025
