Code,Quantity,Rate,Diff,Name,Date,ValidFromDate
USD,1,2.7064,0.0001,აშშ დოლარი,11/11/2025,11/12/2025
USD,1,2.7065,0.0010,აშშ დოლარი,11/10/2025,11/11/2025
USD,1,2.7075,0.0014,აშშ დოლარი,11/7/2025,11/8/2025
USD,1,2.7089,0.0013,აშშ დოლარი,11/6/2025,11/7/2025
USD,1,2.7102,0.0007,აშშ დოლარი,11/5/2025,11/6/2025
USD,1,2.7109,0.0008,აშშ დოლარი,11/4/2025,11/5/2025
USD,1,2.7117,0.0010,აშშ დოლარი,11/3/2025,11/4/2025
USD,1,2.7127,0.0012,აშშ დოლარი,10/31/2025,11/1/2025
USD,1,2.7139,0.0015,აშშ დოლარი,10/31/2025,10/31/2025
USD,1,2.7154,0.0058,აშშ დოლარი,10/29/2025,10/30/2025
USD,1,2.7212,0.0060,აშშ დოლარი,10/28/2025,10/29/2025
USD,1,2.7152,0.0089,აშშ დოლარი,10/27/2025,10/28/2025
USD,1,2.7241,0.0041,აშშ დოლარი,10/24/2025,10/25/2025
USD,1,2.7200,0.0095,აშშ დოლარი,10/23/2025,10/24/2025
USD,1,2.7105,0.0005,აშშ დოლარი,10/22/2025,10/23/2025
USD,1,2.7110,0.0034,აშშ დოლარი,10/21/2025,10/22/2025
USD,1,2.7076,0.0003,აშშ დოლარი,10/20/2025,10/21/2025
USD,1,2.7079,0.0016,აშშ დოლარი,10/17/2025,10/18/2025
USD,1,2.7095,0.0013,აშშ დოლარი,10/16/2025,10/17/2025
USD,1,2.7108,0.0003,აშშ დოლარი,10/15/2025,10/16/2025
USD,1,2.7111,0.0006,აშშ დოლარი,10/13/2025,10/14/2025
USD,1,2.7117,0.0008,აშშ დოლარი,10/10/2025,10/11/2025
USD,1,2.7125,0.0003,აშშ დოლარი,10/9/2025,10/10/2025
USD,1,2.7128,0.0002,აშშ დოლარი,10/8/2025,10/9/2025
USD,1,2.7130,0.0071,აშშ დოლარი,10/7/2025,10/8/2025
USD,1,2.7201,0.0037,აშშ დოლარი,10/6/2025,10/7/2025
USD,1,2.7238,0.0025,აშშ დოლარი,10/6/2025,10/4/2025
USD,1,2.7263,0.0005,აშშ დოლარი,10/2/2025,10/3/2025
USD,1,2.7258,0.0006,აშშ დოლარი,10/1/2025,10/2/2025
USD,1,2.7252,0.0164,აშშ დოლარი,9/30/2025,10/1/2025
USD,1,2.7088,0.0011,აშშ დოლარი,9/29/2025,9/30/2025
USD,1,2.7077,0.0036,აშშ დოლარი,9/26/2025,9/27/2025
USD,1,2.7113,0.0003,აშშ დოლარი,9/25/2025,9/26/2025
USD,1,2.7110,0.0031,აშშ დოლარი,9/24/2025,9/25/2025
USD,1,2.7141,0.0117,აშშ დოლარი,9/23/2025,9/24/2025
USD,1,2.7258,0.0147,აშშ დოლარი,9/22/2025,9/23/2025
USD,1,2.7405,0.0049,აშშ დოლარი,9/19/2025,9/20/2025
USD,1,2.7356,0.0213,აშშ დოლარი,9/18/2025,9/19/2025
USD,1,2.7143,0.0063,აშშ დოლარი,9/17/2025,9/18/2025
USD,1,2.7080,0.0029,აშშ დოლარი,9/16/2025,9/17/2025
USD,1,2.7051,0.0049,აშშ დოლარი,9/15/2025,9/16/2025
USD,1,2.7002,0.0063,აშშ დოლარი,9/12/2025,9/13/2025
USD,1,2.6939,0.0019,აშშ დოლარი,9/11/2025,9/12/2025
USD,1,2.6920,0.0001,აშშ დოლარი,9/10/2025,9/11/2025
USD,1,2.6921,0.0004,აშშ დოლარი,9/9/2025,9/10/2025
USD,1,2.6925,0.0005,აშშ დოლარი,9/8/2025,9/9/2025
USD,1,2.6930,0.0006,აშშ დოლარი,9/5/2025,9/6/2025
USD,1,2.6936,0.0035,აშშ დოლარი,9/4/2025,9/5/2025
USD,1,2.6971,0.0036,აშშ დოლარი,9/3/2025,9/4/2025
USD,1,2.6935,0.0005,აშშ დოლარი,9/2/2025,9/3/2025
USD,1,2.6940,0.0006,აშშ დოლარი,9/1/2025,9/2/2025
USD,1,2.6946,0.0022,აშშ დოლარი,8/29/2025,8/30/2025
USD,1,2.6968,0.0006,აშშ დოლარი,8/27/2025,8/28/2025
USD,1,2.6974,0.0010,აშშ დოლარი,8/26/2025,8/27/2025
USD,1,2.6984,0.0067,აშშ დოლარი,8/25/2025,8/26/2025
USD,1,2.7051,0.0017,აშშ დოლარი,8/22/2025,8/23/2025
USD,1,2.7068,0.0068,აშშ დოლარი,8/21/2025,8/22/2025
USD,1,2.7000,0.0019,აშშ დოლარი,8/20/2025,8/21/2025
USD,1,2.6981,0.0013,აშშ დოლარი,8/19/2025,8/20/2025
USD,1,2.6968,0.0042,აშშ დოლარი,8/18/2025,8/19/2025
USD,1,2.7010,0.0253,აშშ დოლარი,8/15/2025,8/16/2025
USD,1,2.7263,0.0037,აშშ დოლარი,8/14/2025,8/15/2025
USD,1,2.7226,0.0284,აშშ დოლარი,8/13/2025,8/14/2025
USD,1,2.6942,0.0006,აშშ დოლარი,8/12/2025,8/13/2025
USD,1,2.6948,0.0016,აშშ დოლარი,8/11/2025,8/12/2025
USD,1,2.6964,0.0006,აშშ დოლარი,8/8/2025,8/9/2025
USD,1,2.6970,0.0023,აშშ დოლარი,8/7/2025,8/8/2025
USD,1,2.6993,0.0020,აშშ დოლარი,8/6/2025,8/7/2025
USD,1,2.7013,0.0016,აშშ დოლარი,8/5/2025,8/6/2025
USD,1,2.7029,0.0021,აშშ დოლარი,8/4/2025,8/5/2025
USD,1,2.7050,0.0011,აშშ დოლარი,8/1/2025,8/2/2025
USD,1,2.7061,0.0006,აშშ დოლარი,7/31/2025,8/1/2025
USD,1,2.7067,0.0003,აშშ დოლარი,7/30/2025,7/31/2025
USD,1,2.7070,0.0005,აშშ დოლარი,7/29/2025,7/30/2025
USD,1,2.7075,0.0011,აშშ დოლარი,7/28/2025,7/29/2025
USD,1,2.7086,0.0008,აშშ დოლარი,7/25/2025,7/26/2025
USD,1,2.7094,0.0006,აშშ დოლარი,7/24/2025,7/25/2025
