Period,Counteragent ID,Deductable,Surplus
PRL012023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL022023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL032023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL042023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL052023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL062023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL072023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL082023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL092023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,75
PRL102023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL112023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL122023,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL012024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL022024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL032024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL042024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL052024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL062024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL072024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL082024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL092024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,,87
PRL102024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL112024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL122024,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL012025,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL022025,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL032025,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL042025,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL052025,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL062025,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
PRL072025,01DFE71D-5350-4A02-ABCD-C6A3C15B94EE,203,92
