project_uuid,job_name,job_uuid,floors,weight,is_ff,brand_uuid
769a66f7-239b-4b07-9247-181ba26f119d,L0001,048f2792-47b0-9b5e-6760-fc0f9a1c0038,5,1250,FALSE,39f5db17-8285-4faa-bd5e-042c9a12c797
769a66f7-239b-4b07-9247-181ba26f119d,L0001,b6359b95-49b7-4d07-a2d3-d564a00b5b6f,,,FALSE,
7fdd6160-db67-4d95-a4fc-7ae6ccc0c50a,P0001,6bf710cf-5733-4b50-aa92-ed9ec72491cc,5,1000,FALSE,
7fdd6160-db67-4d95-a4fc-7ae6ccc0c50a,P0002,6cd442e4-dc1c-4704-b5a5-30ed2b136473,42,1150,FALSE,
7fdd6160-db67-4d95-a4fc-7ae6ccc0c50a,P0003,ea74de5d-0f9b-48ee-82f4-b6fcbf11198d,42,1600,TRUE,
7fdd6160-db67-4d95-a4fc-7ae6ccc0c50a,P0004,"63a32c5d-a094-47a6-870b-fca773275755",42,1600,TRUE,
4E89F135-A0AD-4622-97BD-7B68EF6062F8,L0001,a2d597bf-bdb9-a359-001d-21d4bffafddd,,,FALSE,
9f8ed6b9-f51b-4974-a77f-2e33583fd63d,L0001,3cd367b4-fd06-4eb6-8f65-c9cdf263d217,10,1000,FALSE,57e563e9-cfc1-4f9b-885e-c9c59f076275
9f8ed6b9-f51b-4974-a77f-2e33583fd63d,L0002,c9d517dd-84fd-4f54-bb5f-1591b32da837,10,1600,TRUE,57e563e9-cfc1-4f9b-885e-c9c59f076275
9f8ed6b9-f51b-4974-a77f-2e33583fd63d,L0003,1b5e23f7-a795-4777-8edc-3b8c5d7f5222,10,1000,FALSE,39f5db17-8285-4faa-bd5e-042c9a12c797
9f8ed6b9-f51b-4974-a77f-2e33583fd63d,L0004,0b827bdc-557c-47be-9ea7-2b8223fba883,3,1000,FALSE,39f5db17-8285-4faa-bd5e-042c9a12c797
9f8ed6b9-f51b-4974-a77f-2e33583fd63d,L0005,24ea097c-29d1-40e8-ad0b-c5f8835fdde1,3,,FALSE,39f5db17-8285-4faa-bd5e-042c9a12c797
DC975886-9BF9-42C8-AFBE-87695AA01262,L0005,1fbb4ce0-0f95-41db-8977-9bd84b746a8f,40,,FALSE,
DC975886-9BF9-42C8-AFBE-87695AA01262,L0006,dd09899c-e401-4eac-9420-7f56e8347d24,39,1000,FALSE,
DC975886-9BF9-42C8-AFBE-87695AA01262,L0007,bf794294-86bc-41d7-bce8-29deaa9c0e01,39,,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,CE0013,ca478ef4-2626-4b7d-b7f9-7f0c0d2c58ba,12,1000,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,CE0014,9a8af7ca-f90f-4f42-99b9-456758f1cd64,12,1275,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,CE0015,c16db010-1ab5-4a90-b673-232118a11472,12,1000,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,CE0016,a0fa113e-020b-4bf4-8278-c71c57364809,12,1000,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,HE0001,7d509164-b716-497f-a7bf-eef65882d436,13,1000,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,HE0002,2ca75d5e-7586-4c11-9182-51ef8de2bd4d,13,1000,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,HE0003,c50406a0-48cf-4c2e-aebe-a73e6d058f0d,14,1000,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,HE0006,ebfff72e-efbe-4549-a42a-bc75a1436a4d,3,1000,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,SE0004,24167493-51c4-4934-a701-d36633f78a02,13,1600,FALSE,
70a35471-a9c1-45d1-bfaf-a8c98abeaed7,SE0017,88fd40ef-5f1c-4664-9960-89e9987d9f33,13,1000,FALSE,
42a65f49-f18f-4bda-9070-13bd45302953,L0001,adf8bcd4-2ad0-436b-83fb-21c4698ab643,7,1000,FALSE,
9518b3a0-051a-4732-b24d-e59f121af873,P0001,"5aa27605-be12-4013-bed9-9819eb657a08",34,1600,TRUE,
9518b3a0-051a-4732-b24d-e59f121af873,P0002,9518b3a0-051a-4732-b24d-e59f121af873,34,1600,TRUE,
9518b3a0-051a-4732-b24d-e59f121af873,P0003,"2c06e550-fb60-40dc-87eb-54acc0e5accc",33,1000,FALSE,
edcc23a1-daf5-47c1-b7f2-46b6b93c967c,L0001,ef5187ac-d249-4602-867e-b4f37e5299de,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0001,d52fe137-b70a-44ae-8b2e-dd8dff342c5b,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0002,56b213d1-bd92-46ab-9c90-fc1667cc469e,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0003,f6200a1e-02dd-4377-b68d-21d7b57af118,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0004,c7a295da-2de2-43e0-9d54-3660ebcb71d2,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0005,3479615a-9272-43ac-8608-c120d38f5c9f,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0006,1111842e-d812-4883-9fc0-f96edaad4cda,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0007,ef942d1d-6873-40e5-9f76-51a67f905d36,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0008,ef2e5764-7e0b-4725-a5e4-2f7c5b26b6a1,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0009,4f1e3ff5-5dfa-420d-9abd-1396e0babef2,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0010,6a19ac58-b3cd-45b6-8d07-7c3db031f38e,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0011,a0550169-659e-4c8f-96ba-af428f20c50b,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0012,fa694a00-0b45-4e7a-8266-7af86426a641,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0013,9f61b17e-8ec5-4e54-81be-90c96395f9a5,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,E0014,2985950e-0b8d-4786-be25-346513724257,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0001,e9d6c51f-861f-44ad-abd1-3481dbad8ba7,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0002,8b671cfd-0643-4a6b-a0e9-895d414c4b56,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0003,d6b76c32-87aa-491d-8bca-9a1d435527ec,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0004,6e5c9a53-66ca-424c-9409-75e5ef8e1967,,,FALSE,
6f2dbefb-3202-4b51-bd70-ea1bd9534729,L0005,d154da07-a647-48e7-8cd2-113f102d115f,,,FALSE,
c4991b70-92fa-4d49-afa6-fbe17d3f7d5f,L1,d9f1951b-8725-41e5-9134-5142642207bb,12,1350,FALSE,
c4991b70-92fa-4d49-afa6-fbe17d3f7d5f,L2,d00ca216-c9ba-4993-9517-03a373c35f9a,12,800,FALSE,
