საქონლის კოდი,საქონლის დასახელება,ზომის ერთეული,რაოდ.,ერთეულის ფასი,საქონლის ფასი,დაბეგვრა,ზედნადების ნომერი,სტატუსი,მყიდველი,გამყიდველი,ზედნადების ტიპი,ტრანსპორტირების დაწყება,ტრანსპორტირების დასრულება,მძღოლი,ა/მ ნომერი,გააქტიურების თარიღი,ტრანსპორტირების დაწყების თარიღი,ტრანსპ. თანხა,შენიშვნა,ქვე-მომხმარებელი,ფირნიშის ან ცნობის ნომერი,დოკუმენტის N,
0890100730,წებო გერმეტიკი შავი -300ML,ცალი,3,45,135,ჩვეულებრივი,0973831657,დასრულებული,(400017245) შპს აი-სი-ი,(211346603) შპს ვიურტ გეორგია,ტრანსპორტირებით,"ქ. ბათუმი, ჯავახიშვილის ქ. # 47ა","ბათუმი,გოგებაშვილის 20",() ,,24-აპრ-2026 14:46:13,24-აპრ-2026 14:46:13,0,GE75TB0600000008467502  GE90BG0000000549841459,გიორგი კახიძე,, ,
0890100730,წებო გერმეტიკი შავი -300ML,ცალი,5,45,225,ჩვეულებრივი,0973831657,დასრულებული,(400017245) შპს აი-სი-ი,(211346603) შპს ვიურტ გეორგია,ტრანსპორტირებით,"ქ. ბათუმი, ჯავახიშვილის ქ. # 47ა","ბათუმი,გოგებაშვილის 20",() ,,24-აპრ-2026 14:46:13,24-აპრ-2026 14:46:13,0,GE75TB0600000008467502  GE90BG0000000549841459,გიორგი კახიძე,, ,
809437,საფართოებელი ავზი 8 LT VALFEX,ცალი,1,63.92,63.92,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
809246,ტუმბო რეცირკულაციის 25-65/130 GRUNDFOS,ცალი,1,300,300,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00237,ამერიკანკა 32 გ/ხ,ცალი,2,9,18,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00021,მუხლი 20/90,ცალი,10,0.30,3,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00134,სამკაპი 20,ცალი,4,0.40,1.60,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
02363,ვინტილი ბურთულიანი 20 მმ A,ცალი,3,5,15,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
02364,ვინტილი ბურთულიანი 25 მმ A,ცალი,3,8,24,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
00305,ამერიკანკა 25 შ/ხ,ცალი,1,7,7,ჩვეულებრივი,0973843001,აქტიური,(400017245) შპს აი-სი-ი,(445457014) შპს თერმო სახლი ბათუმი ,ტრანსპორტირებით,ქ. ბათუმი პუშკინის 111,ქ. ბათუმი სულიკო ჟღენტის 6,() ,,24-აპრ-2026 15:21:47,24-აპრ-2026 15:21:00,0,ნაღდი,ბ. ჭ.,, ,
