day,mismatch_rows,inflow_mismatch_rows,outflow_mismatch_rows,change_mismatch_rows,total_abs_inflow_diff,total_abs_outflow_diff,total_abs_change_diff
2025-04-03,1,1,1,0,14703.84,14703.84,0
2024-04-04,1,1,1,0,20374.56,20374.56,0
2025-04-10,1,1,1,0,62980.11,62980.11,0
2024-04-11,1,1,1,0,112397.32,112397.32,0
2025-04-17,1,1,1,0,2080.74,2080.74,0
2025-04-24,1,1,1,0,6831.76,6831.76,0
2024-04-25,1,1,1,0,71175.26,71175.26,0
2025-07-31,1,1,1,0,56163.22,56163.22,0
2024-08-01,1,1,1,0,2678.47,2678.47,0
2025-08-07,1,1,1,0,250548.3,250548.3,0
2024-08-08,1,1,1,0,3219121.26,3219121.26,0
2025-08-14,1,1,1,0,1750,1750,0
2024-08-15,1,1,1,0,169445.77,169445.77,0
2025-08-21,1,1,1,0,70024.7,70024.7,0
2024-08-22,1,1,1,0,30117.94,30117.94,0
2025-08-28,1,1,1,0,541.34,541.34,0
2024-08-29,1,1,1,0,649948.69,649948.69,0
2025-12-04,1,1,1,0,49432.08,49432.08,0
2024-12-05,1,1,1,0,80204.44,80204.44,0
2025-12-11,1,1,1,0,6333.05,6333.05,0
2024-12-12,1,1,1,0,1568.16,1568.16,0
2025-12-18,1,1,1,0,255119.6,255119.6,0
2024-12-19,1,1,1,0,1255.43,1255.43,0
2025-12-25,1,1,1,0,336169.36,336169.36,0
2024-12-26,1,1,1,0,870947.76,870947.76,0
2024-02-01,1,1,1,0,7643.13,7643.13,0
2026-02-05,1,1,1,0,233143.09,233143.09,0
2025-02-06,1,1,1,0,36052.81,36052.81,0
2024-02-08,1,1,1,0,107095.2,107095.2,0
2026-02-12,1,1,1,0,15520.41,15520.41,0
2025-02-13,1,1,1,0,442598.47,442598.47,0
2024-02-15,1,1,1,0,85741.26,85741.26,0
2026-02-19,1,1,1,0,61557.54,61557.54,0
2025-02-20,1,1,1,0,58872,58872,0
2024-02-22,1,1,1,0,18813.83,18813.83,0
2026-02-26,1,1,1,0,23632.79,23632.79,0
2025-02-27,1,1,1,0,11335.72,11335.72,0
2025-01-02,1,1,1,0,337.5,337.5,0
2024-01-04,1,1,1,0,3306.07,3306.07,0
2026-01-08,1,1,1,1,257688.49,124448.3,133240.19
2025-01-09,1,1,1,0,32250.34,32250.34,0
2024-01-11,1,1,1,0,39972.16,39972.16,0
2026-01-15,1,1,1,0,34534.08,34534.08,0
2025-01-16,1,1,1,0,110593.48,110593.48,0
2026-01-22,1,1,1,0,427732.15,427732.15,0
2025-01-23,1,1,1,0,61986.8,61986.8,0
2024-01-25,1,1,1,0,10121.45,10121.45,0
2026-01-29,1,1,1,0,23917,23917,0
2025-01-30,1,1,1,0,236936.31,236936.31,0
2025-07-03,1,1,1,0,6265.83,6265.83,0
2024-07-04,1,1,1,0,195423.76,195423.76,0
2025-07-10,1,1,1,0,81230.5,81230.5,0
2024-07-11,1,1,1,0,57523.89,57523.89,0
2025-07-17,1,1,1,0,221429.68,221429.68,0
2024-07-18,1,1,1,0,11352,11352,0
2025-07-24,1,1,1,0,125432.4,125432.4,0
2024-07-25,1,1,1,0,243350.39,243350.39,0
2025-06-05,1,1,1,0,94548.02,94548.02,0
2024-06-06,1,1,1,0,5780.34,5780.34,0
2025-06-12,1,1,1,0,249203.99,249203.99,0
2024-06-13,1,1,1,0,8859.5,8859.5,0
2025-06-19,1,1,1,0,17512,17512,0
2024-06-20,1,1,1,0,210431.4,210431.4,0
2024-06-27,1,1,1,0,77044.8,77044.8,0
2024-02-29,1,1,1,0,99826.83,99826.83,0
2026-03-05,1,1,1,0,52274.81,52274.81,0
2025-03-06,1,1,1,0,162147.36,162147.36,0
2024-03-07,1,1,1,0,1337.66,1337.66,0
